Title,Difficulty,Pattern,LeetCode Link,Company
Container With Most Water,Medium,Two Pointers - Converging,,
3Sum,Medium,Two Pointers - Converging,,
Linked List Cycle,Easy,Two Pointers - Fast & Slow,,
Happy Number,Easy,Two Pointers - Fast & Slow,,
Remove Nth Node From End of List,Medium,Two Pointers - Fixed Separation,,
Middle of the Linked List,Easy,Two Pointers - Fixed Separation,,
Remove Duplicates from Sorted Array,Easy,Two Pointers - In-place Array Modification,,
Remove Element,Easy,Two Pointers - In-place Array Modification,,
Backspace String Compare,Easy,Two Pointers - String Comparison with Backspaces,,
Removing Stars From a String,Medium,Two Pointers - String Comparison with Backspaces,,
Longest Palindromic Substring,Medium,Two Pointers - Expanding From Center,,
Palindromic Substrings,Medium,Two Pointers - Expanding From Center,,
Reverse Words in a String,Medium,Two Pointers - String Reversal,,
Reverse String,Easy,Two Pointers - String Reversal,,
Moving Average from Data Stream,Easy,Sliding Window - Fixed Size,,
Maximum Average Subarray I,Easy,Sliding Window - Fixed Size,,
Longest Substring Without Repeating Characters,Medium,Sliding Window - Variable Size,,
Minimum Window Substring,Hard,Sliding Window - Variable Size,,
Sliding Window Maximum,Hard,Sliding Window - Monotonic Queue,,
Shortest Subarray with Sum at Least K,Hard,Sliding Window - Monotonic Queue,,
Find All Anagrams in a String,Medium,Sliding Window - Character Frequency Matching,,
Permutation in String,Medium,Sliding Window - Character Frequency Matching,,
Binary Tree Level Order Traversal,Easy,Tree BFS - Level Order Traversal,,
Binary Tree Zigzag Level Order Traversal,Medium,Tree BFS - Level Order Traversal,,
Same Tree,Easy,Tree DFS - Recursive Preorder Traversal,,
Symmetric Tree,Easy,Tree DFS - Recursive Preorder Traversal,,
Binary Tree Inorder Traversal,Easy,Tree DFS - Recursive Inorder Traversal,,
Validate Binary Search Tree,Medium,Tree DFS - Recursive Inorder Traversal,,
Maximum Depth of Binary Tree,Easy,Tree DFS - Recursive Postorder Traversal,,
Balanced Binary Tree,Easy,Tree DFS - Recursive Postorder Traversal,,
Lowest Common Ancestor of a Binary Search Tree,Easy,Tree - Lowest Common Ancestor (LCA),,
Lowest Common Ancestor of a Binary Tree,Medium,Tree - Lowest Common Ancestor (LCA),,
Serialize and Deserialize Binary Tree,Hard,Tree - Serialization and Deserialization,,
Subtree of Another Tree,Easy,Tree - Serialization and Deserialization,,
Number of Islands,Medium,Graph DFS - Connected Components / Island Counting,,
Surrounded Regions,Medium,Graph DFS - Connected Components / Island Counting,,
01 Matrix,Medium,Graph BFS - Connected Components / Island Counting,,
Rotting Oranges,Medium,Graph BFS - Connected Components / Island Counting,,
Course Schedule,Medium,Graph DFS - Cycle Detection (Directed Graph),,
Course Schedule II,Medium,Graph DFS - Cycle Detection (Directed Graph),,
Course Schedule II (Kahn),Medium,Graph BFS - Topological Sort (Kahn's Algorithm),,
Alien Dictionary,Hard,Graph BFS - Topological Sort (Kahn's Algorithm),,
Clone Graph,Medium,Graph - Deep Copy / Cloning,,
Copy List with Random Pointer,Medium,Graph - Deep Copy / Cloning,,
Network Delay Time,Medium,Graph - Shortest Path (Dijkstra),,
Swim in Rising Water,Hard,Graph - Shortest Path (Dijkstra),,
Cheapest Flights Within K Stops,Medium,Graph - Shortest Path (Bellman-Ford / BFS+K),,
Shortest Path with Alternating Colors,Medium,Graph - Shortest Path (Bellman-Ford / BFS+K),,
Number of Connected Components in an Undirected Graph,Easy,Graph - Union-Find (DSU),,
Redundant Connection,Medium,Graph - Union-Find (DSU),,
Climbing Stairs,Easy,DP - 1D Array (Fibonacci Style),,
Decode Ways,Medium,DP - 1D Array (Fibonacci Style),,
Maximum Subarray,Easy,DP - 1D Array (Kadane's Algorithm),,
Maximum Sum Circular Subarray,Medium,DP - 1D Array (Kadane's Algorithm),,
Coin Change,Medium,DP - 1D Array (Coin Change / Unbounded Knapsack),,
Combination Sum IV,Medium,DP - 1D Array (Coin Change / Unbounded Knapsack),,
Partition Equal Subset Sum,Medium,DP - 1D Array (0/1 Knapsack Subset Sum),,
Target Sum,Medium,DP - 1D Array (0/1 Knapsack Subset Sum),,
Word Break,Medium,DP - 1D Array (Word Break Style),,
Word Break II,Hard,DP - 1D Array (Word Break Style),,
Longest Common Subsequence,Medium,DP - 2D Array (LCS),,
Shortest Common Supersequence,Hard,DP - 2D Array (LCS),,
Kth Largest Element in an Array,Medium,Heap - Top K Elements,,
Top K Frequent Elements,Medium,Heap - Top K Elements,,
Find Median from Data Stream,Hard,Heap - Two Heaps for Median Finding,,
Finding MK Average,Hard,Heap - Two Heaps for Median Finding,,
Merge k Sorted Lists,Hard,Heap - K-way Merge,,
Find K Pairs with Smallest Sums,Medium,Heap - K-way Merge,,
Meeting Rooms II,Medium,Heap - Scheduling / Minimum Cost,,
Reorganize String,Medium,Heap - Scheduling / Minimum Cost,,
Letter Combinations of a Phone Number,Medium,Backtracking - Subsets (Include/Exclude),,
Combinations,Medium,Backtracking - Subsets (Include/Exclude),,
Next Permutation,Medium,Backtracking - Permutations,,
Permutations,Medium,Backtracking - Permutations,,
Combination Sum,Medium,Backtracking - Combination Sum,,
Combination Sum II,Medium,Backtracking - Combination Sum,,
Generate Parentheses,Medium,Backtracking - Parentheses Generation,,
Remove Invalid Parentheses,Hard,Backtracking - Parentheses Generation,,
Merge Intervals,Medium,Greedy - Interval Merging/Scheduling,,
Insert Interval,Medium,Greedy - Interval Merging/Scheduling,,
Jump Game II,Medium,Greedy - Jump Game Reachability/Minimization,,
Jump Game,Medium,Greedy - Jump Game Reachability/Minimization,,
Best Time to Buy and Sell Stock,Easy,Greedy - Buy/Sell Stock,,
Best Time to Buy and Sell Stock II,Easy,Greedy - Buy/Sell Stock,,
Gas Station,Medium,Greedy - Gas Station Circuit,,
Maximize the Topmost Element After K Moves,Medium,Greedy - Gas Station Circuit,,
Search Insert Position,Easy,Binary Search - On Sorted Array/List,,
Sqrt(x),Easy,Binary Search - On Sorted Array/List,,
